"name","ID","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio"
"A0A0E3VN01_PEA","A0A0E3VN01",0.0104998851002292,0.0437,TRUE,-1.1
"A0A0F6NG56_PEA","A0A0F6NG56",0.000384715647206224,0.00346,TRUE,-1.14
"A0A0F6NG84_PEA","A0A0F6NG84",7.41433903542962e-05,0.00112,TRUE,-2.05
"A0A0F6NGI2_PEA","A0A0F6NGI2",1.32587940879758e-07,4.44e-05,TRUE,-5.77
"A0A0F6NGJ4_PEA","A0A0F6NGJ4",0.00314217282964639,0.017,TRUE,-2.97
"A0A0F6NGK1_PEA","A0A0F6NGK1",0.00390031075454063,0.0202,TRUE,-0.862
"A0A0M3KL10_PEA","A0A0M3KL10",3.98602115418453e-07,6.7e-05,TRUE,-5.67
"A0A0M3KL11_PEA","A0A0M3KL11",5.55179995834935e-05,0.000937,TRUE,-2.36
"A0A0N7BU01_PEA","A0A0N7BU01",3.55956443033622e-06,0.000184,TRUE,-2.66
"A0A1Z2TIV8_PEA","A0A1Z2TIV8",0.0101727351185838,0.0427,TRUE,-0.78
"A0A2S1CDX8_PEA","A0A2S1CDX8",2.2419785791749e-05,0.000544,TRUE,-1.53
"A0A2S1CDZ6_PEA","A0A9D4XNU4",0.00169494829422961,0.0106,TRUE,-1.25
"A0A2S1CE40_PEA","A0A2S1CE40",0.000183530595924427,0.00208,TRUE,-1.35
"A0A2S1CE99_PEA","A0A2S1CE99",2.73779014308384e-05,0.000602,TRUE,-2.85
"A0A2S1CEA3_PEA","A0A2S1CEA3",0.000474681759837359,0.00404,TRUE,-1.25
"A0A2S1CEB5_PEA","A0A0F6NFX1",1.7050236239039e-05,0.000459,TRUE,-2.45
"A0A2S1CEC8_PEA","A0A2S1CEC8",0.000117895121685109,0.00153,TRUE,-1.93
"A0A2S1CEE0_PEA","A0A2S1CEE0",2.47678312866498e-06,0.000151,TRUE,-2.46
"A0A2S1CEG9_PEA","A0A2S1CEG9",0.00274753925954264,0.0153,TRUE,-4
"A0A2S1CEH5_PEA","A0A2S1CEH5",0.000232577374340173,0.00242,TRUE,-2
"A0A2U3TA33_PEA","A0A2U3TA33",1.25633901119427e-07,4.44e-05,TRUE,-5.42
"A0A386K171_PEA","A0A386K0X0",0.00012522335141158,0.0016,TRUE,1.55
"A0A8A4HHB1_PEA","A0A8A4HHB1",0.000556603037185909,0.00457,TRUE,-1.16
"A0A8A4HHX1_PEA","A0A8A4HHX1",0.000540551700862126,0.00445,TRUE,0.931
"A0A8A4HIF1_PEA","A0A8A4HIF1",0.000194491261946865,0.00217,TRUE,-1.78
"A0A8A4HKI2_PEA","A0A8A4HKI2",0.000135621839332338,0.00169,TRUE,1.42
"A0A8A4HKN7_PEA.1","A0A8A4HKN7",0.00405576457311911,0.0209,TRUE,-3.52
"A0A9D4VFB3_PEA","A0A9D4VFB3",0.000668841747134458,0.0052,TRUE,1.12
"A0A9D4VFD8_PEA","A0A9D4VFD8",0.000650566995480661,0.00514,TRUE,-1.1
"A0A9D4VFF3_PEA","A0A9D4VFF3",0.00149136336295181,0.00955,TRUE,0.935
"A0A9D4VFW9_PEA","A0A9D4VFW9",3.84542809940073e-05,0.000744,TRUE,1.36
"A0A9D4VG63_PEA","A0A9D4VG63",8.35002582819541e-05,0.00121,TRUE,-1.56
"A0A9D4VG97_PEA","A0A9D4VG97",0.00926486081457758,0.0398,TRUE,-2.54
"A0A9D4VGB1_PEA","A0A9D4VGB1",0.00417546321497928,0.0213,TRUE,-0.824
"A0A9D4VGF9_PEA","A0A9D4VI14",6.44394260870255e-08,3.82e-05,TRUE,-3.16
"A0A9D4VGH0_PEA","A0A9D4VGH0",8.55189142384978e-06,0.000322,TRUE,-2.07
"A0A9D4VGJ8_PEA","A0A9D4VGJ8",0.00976858997292404,0.0415,TRUE,0.777
"A0A9D4VGM4_PEA","A0A9D4VGM4",0.000369181444900997,0.00337,TRUE,-1.23
"A0A9D4VGR1_PEA","A0A9D4VGR1",0.00946415491694934,0.0404,TRUE,2.21
"A0A9D4VGU5_PEA","A0A9D4VGU5",0.000424457619994382,0.00372,TRUE,-1.44
"A0A9D4VH07_PEA","A0A9D4VFB6",0.0107756661115375,0.0445,TRUE,3.14
