"name","ID","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio"
"A0A068LJH6_PEA","A0A068LJH6",0.00121891879350873,0.0113,TRUE,-0.909
"A0A0F6NG56_PEA","A0A0F6NG56",0.00813703114033012,0.0432,TRUE,-0.617
"A0A0F6NGI2_PEA","A0A0F6NGI2",8.51626705297121e-06,0.000521,TRUE,3.05
"A0A0F6NGK1_PEA","A0A0F6NGK1",1.7196760321809e-05,0.000795,TRUE,-1.72
"A0A0H3WA21_PEA","A0A9D4WJ86",0.00144129331556497,0.0126,TRUE,1.17
"A0A0H5BV73_PEA","A0A0H5BV50",0.00157410761192695,0.0134,TRUE,-0.701
"A0A0M3KL10_PEA","A0A0M3KL10",8.10150692746362e-05,0.00211,TRUE,2.54
"A0A2S1CDX8_PEA","A0A2S1CDX8",0.00025763701568306,0.0041,TRUE,-0.978
"A0A2S1CDX9_PEA","A0A2S1CDX9",0.00283344703581151,0.0204,TRUE,-1.14
"A0A2S1CDZ6_PEA","A0A9D4XNU4",7.4536137874034e-06,0.000492,TRUE,2.41
"A0A2S1CE40_PEA","A0A2S1CE40",8.61624744809025e-05,0.00219,TRUE,-1.34
"A0A2S1CEH5_PEA","A0A2S1CEH5",0.00186817973756969,0.0152,TRUE,-1.3
"A0A2U3TA33_PEA","A0A2U3TA33",3.60214833938695e-05,0.00124,TRUE,2.35
"A0A386K171_PEA","A0A386K0X0",0.00488721299370758,0.0302,TRUE,-0.78
"A0A7H0S597_PEA","A0A7H0S597",0.00267768670352574,0.0196,TRUE,1.15
"A0A8A4HHB1_PEA","A0A8A4HHB1",0.000824033717828074,0.00857,TRUE,0.979
"A0A8A4HIF1_PEA","A0A8A4HIF1",0.000105630968151911,0.00247,TRUE,1.74
"A0A8A4HIW7_PEA","A0A8A4HIW7",0.00014526613177918,0.00297,TRUE,1.24
"A0A8A4HKI2_PEA","A0A8A4HKI2",0.00098182857391877,0.00969,TRUE,-0.946
"A0A9D4VEX7_PEA","A0A9D4VEX7",0.000736983326348026,0.00807,TRUE,1.53
"A0A9D4VF95_PEA.1","A0A9D4VF16",0.004664390594698,0.0292,TRUE,1.61
"A0A9D4VFD8_PEA","A0A9D4VFD8",0.0029535439714356,0.0211,TRUE,0.774
"A0A9D4VG63_PEA","A0A9D4VG63",0.000314502742772893,0.00466,TRUE,1.16
"A0A9D4VG67_PEA","A0A9D4VG67",0.00471185204701099,0.0293,TRUE,0.884
"A0A9D4VG90_PEA","A0A9D4VG90",0.000227497630215701,0.00378,TRUE,0.88
"A0A9D4VGC5_PEA","A0A9D4VGC5",0.000112997759414206,0.00256,TRUE,-1.1
"A0A9D4VGF9_PEA","A0A9D4VI14",6.7828134839683e-08,4.86e-05,TRUE,2.81
"A0A9D4VGJ8_PEA","A0A9D4VGJ8",0.00267651499284332,0.0196,TRUE,-0.88
"A0A9D4VGK0_PEA","A0A9D4VGK0",0.00153540531362881,0.0132,TRUE,-0.916
"A0A9D4VGL4_PEA","A0A9D4VGL4",0.00329052341280213,0.0228,TRUE,-3.44
"A0A9D4VGM4_PEA","A0A9D4VGM4",0.00157059618365387,0.0134,TRUE,0.879
"A0A9D4VGM5_PEA","A0A9D4VGM5",0.000675795572841617,0.00754,TRUE,2.18
"A0A9D4VGR2_PEA","A0A9D4VGR2",0.00176752385540093,0.0146,TRUE,-0.772
"A0A9D4VGU5_PEA","A0A9D4VGU5",0.000179805985820009,0.00329,TRUE,1.46
"A0A9D4VHL1_PEA","A0A9D4VHL1",0.00866619960835046,0.045,TRUE,0.874
"A0A9D4VHQ6_PEA","A0A9D4VHQ6",0.000174699549471874,0.00323,TRUE,-1.31
"A0A9D4VHS1_PEA","A0A9D4VHS1",0.00370187102455958,0.0249,TRUE,1.84
"A0A9D4VHS4_PEA","A0A9D4VHS4",0.00632540594358075,0.0364,TRUE,2.64
"A0A9D4VHX6_PEA","A0A9D4VHX6",0.00337677806792303,0.0231,TRUE,-0.919
"A0A9D4VI11_PEA","A0A9D4VI11",0.00606184014988714,0.0353,TRUE,0.911
"A0A9D4VI29_PEA","A0A9D4VI29",8.34191503848797e-08,4.95e-05,TRUE,-3.14
"A0A9D4VI35_PEA","A0A9D4VI35",0.00889231299002591,0.0457,TRUE,-2.05
"A0A9D4VI99_PEA","A0A9D4VI99",0.00060340458698771,0.007,TRUE,-0.905
"A0A9D4VIA5_PEA","A0A9D4VIA5",1.38836055591357e-05,0.000687,TRUE,-1.42
"A0A9D4VIF9_PEA","A0A9D4VIF9",0.00735188339055455,0.0401,TRUE,0.902
"A0A9D4VIH0_PEA.1","A0A9D4VIH0",0.00172674527525814,0.0144,TRUE,-3.1
"A0A9D4VIH4_PEA.1","A0A9D4ZV35",0.00457180869044714,0.0288,TRUE,1.39
"A0A9D4VIM9_PEA","A0A9D4VIM9",1.17132187745466e-05,0.000623,TRUE,-1.97
"A0A9D4VIN0_PEA","A0A9D4VIN0",5.84563685732428e-05,0.00172,TRUE,1.5
"A0A9D4VIN7_PEA","A0A9D4VIN7",0.00662886212179739,0.0374,TRUE,-0.662
"A0A9D4VIV0_PEA","A0A9D4VIV0",1.76388277312186e-06,2e-04,TRUE,-2.41
"A0A9D4VIY3_PEA","A0A9D5B715",0.00105429634549656,0.0102,TRUE,1.31
"A0A9D4VIY4_PEA.1","A0A9D4VIY4",0.00100587259490972,0.00985,TRUE,-2.36
"A0A9D4VJ29_PEA","A0A9D4VIU5",0.000415865006648567,0.00556,TRUE,0.957
"A0A9D4VJH4_PEA","A0A9D4VJH4",6.73651574860131e-06,0.000456,TRUE,2.22
"A0A9D4VJQ6_PEA","A0A9D4VJQ6",0.000160056822306588,0.00311,TRUE,1.44
"A0A9D4VJW7_PEA","A0A9D4VJW7",0.00994907243540317,0.0497,TRUE,3.25
"A0A9D4VJY1_PEA","A0A9D4VJY1",0.00135072197838373,0.0121,TRUE,-1.19
"A0A9D4VJY3_PEA","A0A9D4VJY3",0.000137190737994402,0.00285,TRUE,1.59
"A0A9D4VJZ4_PEA","A0A9D4VJZ4",0.00211603330101356,0.0166,TRUE,1.18
"A0A9D4VK39_PEA","A0A9D4VK39",6.06827333115787e-05,0.00174,TRUE,1.73
"A0A9D4VK68_PEA","A0A9D4VK68",0.00572076558053017,0.034,TRUE,2.35
"A0A9D4VKF6_PEA","A0A9D4VKF6",0.000698800297488818,0.00772,TRUE,0.937
"A0A9D4VKF8_PEA","A0A9D4VKF8",0.000196170163995705,0.00342,TRUE,-1.21
"A0A9D4VKP5_PEA","A0A9D4VKP5",0.00151900092094877,0.0131,TRUE,-1.31
"A0A9D4VKW4_PEA","A0A9D4VKW4",0.00103607570422281,0.0101,TRUE,-0.929
"A0A9D4VL16_PEA","A0A9D4VL16",5.56152815855147e-05,0.00167,TRUE,1.83
"A0A9D4VL38_PEA","A0A9D4VL38",1.53584386672089e-06,0.000191,TRUE,-2.16
"A0A9D4VL64_PEA","A0A9D4VJE2",0.00828845150547674,0.0436,TRUE,0.859
"A0A9D4VL77_PEA","A0A9D4VK25",7.10975477969476e-06,0.000477,TRUE,-1.51
"A0A9D4VLE3_PEA.1","A0A9D4VLE3",0.00271969194353141,0.0199,TRUE,1.75
"A0A9D4VLF1_PEA","A0A9D4VLF1",0.00140170431068526,0.0124,TRUE,-0.827
"A0A9D4VLH4_PEA","A0A9D4VLH4",0.00456943050699981,0.0288,TRUE,0.763
"A0A9D4VLJ4_PEA","A0A9D4VLJ4",0.00120728280264123,0.0112,TRUE,-1.41
"A0A9D4VLX9_PEA","A0A9D4VLX9",0.000227608814467634,0.00378,TRUE,-1.17
"A0A9D4VLY0_PEA","A0A9D4VLY0",0.000432291617759549,0.00564,TRUE,1.34
"A0A9D4VM10_PEA","A0A9D4VM10",0.00033804995894171,0.0049,TRUE,1.49
"A0A9D4VMA8_PEA","A0A9D4VMA8",0.000676254396438689,0.00754,TRUE,-1.06
"A0A9D4VME0_PEA","A0A9D4VME0",9.45805885110258e-05,0.00231,TRUE,-1.23
"A0A9D4VME1_PEA","A0A9D4VME1",0.00413899111775737,0.0269,TRUE,-0.937
"A0A9D4VMS5_PEA","A0A9D4VMS5",0.00827823219681315,0.0436,TRUE,-0.696
"A0A9D4VMV8_PEA","A0A9D4VMV8",0.000386896313057004,0.00537,TRUE,1.1
"A0A9D4VMW8_PEA","A0A9D4VMW8",0.00206763989538758,0.0164,TRUE,3.31
