"","Common_Genes"
"1","A0A068LJH6_PEA"
"2","A0A0F6NG56_PEA"
"3","A0A0F6NGK1_PEA"
"4","A0A0H5BV73_PEA"
"5","A0A2S1CDX8_PEA"
"6","A0A2S1CDX9_PEA"
"7","A0A2S1CE40_PEA"
"8","A0A2S1CEH5_PEA"
"9","A0A386K171_PEA"
"10","A0A8A4HKI2_PEA"
"11","A0A9D4VGC5_PEA"
"12","A0A9D4VGJ8_PEA"
"13","A0A9D4VGK0_PEA"
"14","A0A9D4VGL4_PEA"
"15","A0A9D4VGR2_PEA"
"16","A0A9D4VHQ6_PEA"
"17","A0A9D4VHX6_PEA"
"18","A0A9D4VI29_PEA"
"19","A0A9D4VI35_PEA"
"20","A0A9D4VI99_PEA"
"21","A0A9D4VIA5_PEA"
"22","A0A9D4VIH0_PEA.1"
"23","A0A9D4VIM9_PEA"
"24","A0A9D4VIN7_PEA"
"25","A0A9D4VIV0_PEA"
"26","A0A9D4VIY4_PEA.1"
"27","A0A9D4VJY1_PEA"
"28","A0A9D4VKF8_PEA"
"29","A0A9D4VKP5_PEA"
"30","A0A9D4VKW4_PEA"
"31","A0A9D4VL38_PEA"
"32","A0A9D4VL77_PEA"
"33","A0A9D4VLF1_PEA"
"34","A0A9D4VLJ4_PEA"
"35","A0A9D4VLX9_PEA"
"36","A0A9D4VMA8_PEA"
"37","A0A9D4VME0_PEA"
"38","A0A9D4VME1_PEA"
"39","A0A9D4VMS5_PEA"
"40","A0A9D4VMZ0_PEA"
"41","A0A9D4VN94_PEA"
"42","A0A9D4VNC8_PEA"
"43","A0A9D4VNU4_PEA"
"44","A0A9D4VP29_PEA"
"45","A0A9D4VPJ8_PEA"
"46","A0A9D4VPM9_PEA"
"47","A0A9D4VPS6_PEA"
"48","A0A9D4VPX9_PEA"
"49","A0A9D4VQ33_PEA"
"50","A0A9D4VQ42_PEA"
"51","A0A9D4VQ78_PEA"
"52","A0A9D4VQ91_PEA"
"53","A0A9D4VRA0_PEA"
"54","A0A9D4VRF6_PEA"
"55","A0A9D4VRN2_PEA"
"56","A0A9D4VRR0_PEA"
"57","A0A9D4VS27_PEA"
"58","A0A9D4VS73_PEA"
"59","A0A9D4VSF3_PEA"
"60","A0A9D4VSZ4_PEA"
"61","A0A9D4VT50_PEA"
"62","A0A9D4VT61_PEA"
"63","A0A9D4VT63_PEA"
"64","A0A9D4VTP0_PEA"
"65","A0A9D4VUF5_PEA"
"66","A0A9D4VUW9_PEA"
"67","A0A9D4VVK0_PEA.1"
"68","A0A9D4VVZ1_PEA"
"69","A0A9D4VW11_PEA.1"
"70","A0A9D4VWN0_PEA"
"71","A0A9D4VWV7_PEA"
"72","A0A9D4VX45_PEA"
"73","A0A9D4VX86_PEA"
"74","A0A9D4VXE0_PEA"
"75","A0A9D4VXL7_PEA"
"76","A0A9D4VXP2_PEA"
"77","A0A9D4VXQ2_PEA.1"
"78","A0A9D4VXX8_PEA"
"79","A0A9D4VY63_PEA"
"80","A0A9D4VY79_PEA"
"81","A0A9D4VYA5_PEA"
"82","A0A9D4VYD1_PEA"
"83","A0A9D4VYI6_PEA"
"84","A0A9D4VYJ3_PEA"
"85","A0A9D4VYK7_PEA.1"
"86","A0A9D4VYL0_PEA"
"87","A0A9D4VYL1_PEA"
"88","A0A9D4VYS0_PEA"
"89","A0A9D4VZG3_PEA.1"
"90","A0A9D4W010_PEA"
"91","A0A9D4W0M6_PEA"
"92","A0A9D4W0P3_PEA"
"93","A0A9D4W0X8_PEA"
"94","A0A9D4W116_PEA"
"95","A0A9D4W197_PEA"
"96","A0A9D4W1D4_PEA"
"97","A0A9D4W1W4_PEA"
"98","A0A9D4W1Z9_PEA"
"99","A0A9D4W273_PEA"
"100","A0A9D4W2A0_PEA"
"101","A0A9D4W2K7_PEA"
"102","A0A9D4W2L4_PEA"
"103","A0A9D4W2M3_PEA"
"104","A0A9D4W3A2_PEA"
"105","A0A9D4W3P0_PEA"
"106","A0A9D4W3U6_PEA"
"107","A0A9D4W3W3_PEA"
"108","A0A9D4W400_PEA"
"109","A0A9D4W485_PEA"
"110","A0A9D4W4C2_PEA.1"
"111","A0A9D4W4M8_PEA"
"112","A0A9D4W4T3_PEA"
"113","A0A9D4W4V3_PEA"
"114","A0A9D4W4Z3_PEA"
"115","A0A9D4W514_PEA"
"116","A0A9D4W554_PEA"
"117","A0A9D4W581_PEA"
"118","A0A9D4W584_PEA"
"119","A0A9D4W5B3_PEA"
"120","A0A9D4W5F4_PEA"
"121","A0A9D4W5T8_PEA"
"122","A0A9D4W5V1_PEA"
"123","A0A9D4W5V4_PEA.1"
"124","A0A9D4W5W2_PEA"
"125","A0A9D4W5W9_PEA"
"126","A0A9D4W5Z6_PEA"
"127","A0A9D4W620_PEA"
"128","A0A9D4W6J2_PEA"
"129","A0A9D4W6K4_PEA"
"130","A0A9D4W7A5_PEA"
"131","A0A9D4W7D2_PEA"
"132","A0A9D4W7K9_PEA"
"133","A0A9D4W7V0_PEA"
"134","A0A9D4W7Y8_PEA"
"135","A0A9D4W8E7_PEA"
"136","A0A9D4W8E9_PEA"
"137","A0A9D4W8F3_PEA"
"138","A0A9D4W8I7_PEA"
"139","A0A9D4W913_PEA"
"140","A0A9D4W9C9_PEA"
"141","A0A9D4W9P4_PEA"
"142","A0A9D4W9Q3_PEA"
"143","A0A9D4W9W8_PEA"
"144","A0A9D4W9W9_PEA"
"145","A0A9D4WAK1_PEA"
"146","A0A9D4WAK2_PEA"
"147","A0A9D4WAM4_PEA"
"148","A0A9D4WAS3_PEA"
"149","A0A9D4WB05_PEA"
"150","A0A9D4WB21_PEA"
"151","A0A9D4WBI7_PEA"
"152","A0A9D4WBS9_PEA"
"153","A0A9D4WC46_PEA"
"154","A0A9D4WCC3_PEA"
"155","A0A9D4WCN6_PEA"
"156","A0A9D4WCW2_PEA"
"157","A0A9D4WD46_PEA"
"158","A0A9D4WD63_PEA"
"159","A0A9D4WDI8_PEA.1"
"160","A0A9D4WDL6_PEA"
"161","A0A9D4WE43_PEA"
"162","A0A9D4WFL9_PEA"
"163","A0A9D4WFN0_PEA"
"164","A0A9D4WG49_PEA"
"165","A0A9D4WG64_PEA"
"166","A0A9D4WGS9_PEA"
"167","A0A9D4WGT4_PEA"
