"name","ID","Apical_Buds_2h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Apical_Buds_2h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Apical_Buds_2h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","significant","Apical_Buds_2h_vs_Apical_Buds_0h_ratio","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio","Apical_Buds_0h_centered","Apical_Buds_2h_centered","Axillary_Buds_0h_centered","Axillary_Buds_2h_centered"
"A0A068LJH6_PEA","A0A068LJH6",0.300675177019839,0.536395634444819,0.00121892415428695,0.883,0.727,0.0113,FALSE,FALSE,TRUE,TRUE,0.233,0.136,-0.909,0.11,0.343,0.246,-0.662
"A0A0E3VN01_PEA","A0A0E3VN01",0.217235210940382,0.0104998690382502,0.643630330665803,0.834,0.0437,0.81,FALSE,TRUE,FALSE,TRUE,0.447,-1.1,0.144,0.44,0.887,-0.662,-0.518
"A0A0F6NG56_PEA","A0A0F6NG56",0.120068998580859,0.00038471662462972,0.008137003888068,0.738,0.00346,0.0432,FALSE,TRUE,TRUE,TRUE,-0.345,-1.14,-0.617,0.886,0.54,-0.257,-0.874
"A0A0F6NG84_PEA","A0A0F6NG84",0.254900394453355,7.41438143463763e-05,0.0621081041776046,0.854,0.00112,0.19,FALSE,TRUE,FALSE,TRUE,-0.346,-2.05,-0.546,1.36,1.02,-0.689,-1.24
"A0A0F6NGI2_PEA","A0A0F6NGI2",0.393876744453028,1.3258834541164e-07,8.51628626059581e-06,0.919,4.44e-05,0.000521,FALSE,TRUE,TRUE,TRUE,-0.316,-5.77,3.05,2.4,2.09,-3.37,-0.321
"A0A0F6NGJ4_PEA","A0A0F6NGJ4",0.839446200458788,0.00314217575420878,0.436358848400479,0.996,0.017,0.661,FALSE,TRUE,FALSE,TRUE,-0.151,-2.97,0.528,1.51,1.36,-1.45,-0.923
"A0A0F6NGK1_PEA","A0A0F6NGK1",0.833335739255246,0.0039003270047855,1.71968266197027e-05,0.996,0.0202,0.000795,FALSE,TRUE,TRUE,TRUE,0.0473,-0.862,-1.72,0.926,0.973,0.0639,-1.65
"A0A0H3WA21_PEA","A0A9D4WJ86",0.82806621671876,0.0282346796980378,0.00144130412019822,0.996,0.0934,0.0126,FALSE,FALSE,TRUE,TRUE,-0.0624,-0.739,1.17,0.102,0.0398,-0.637,0.529
"A0A0H5BV73_PEA","A0A0H5BV50",0.403040101489688,0.789689527393034,0.00157411727198559,0.923,0.895,0.0134,FALSE,FALSE,TRUE,TRUE,-0.15,0.0468,-0.701,0.206,0.0567,0.253,-0.447
"A0A0M3KL10_PEA","A0A0M3KL10",0.532059205526406,3.98603569586903e-07,8.10152821663127e-05,0.969,6.7e-05,0.00211,FALSE,TRUE,TRUE,TRUE,-0.259,-5.67,2.54,2.47,2.21,-3.2,-0.659
