"Var1","Apical_Buds_0h_R2","Apical_Buds_0h_R3","Axillary_Buds_2h_R2","Apical_Buds_2h_R4","Axillary_Buds_2h_R1","Axillary_Buds_2h_R3","Apical_Buds_2h_R1","Apical_Buds_2h_R2","Axillary_Buds_0h_R1","Axillary_Buds_0h_R2","Axillary_Buds_0h_R3"
"A0A068LJH6_PEA",25.8559976973691,25.4692664071544,24.9309903886868,25.97011679205,24.9309903886868,24.8091552973154,26.0790394058467,25.6385804131526,25.7476850625622,25.675850486424,25.9732584259412
"A0A0E3VN01_PEA",19.6228564634921,19.7708197786308,18.509481696989,20.0861406115287,18.509481696989,19.1989809587631,20.3962301999718,19.9491059357399,19.1495958888928,18.4035018702371,18.2337554753795
"A0A0F6NG56_PEA",21.1111298858443,20.6449590737015,19.19673654006,20.5096025492848,19.1967057654244,18.9613681751386,20.6624203709397,20.4256959376504,19.7018579321463,19.6702793202624,19.8330012604833
"A0A0F6NG84_PEA",21.8260023771957,21.3605577294751,18.8451654879163,21.1369506819358,18.8451654879163,19.294735966615,21.4026763976211,21.2008788039472,19.1290426582518,19.5805109429224,19.9134103005495
"A0A0F6NGI2_PEA",24.3201468073793,24.4778012048181,21.4009937123893,23.953770048905,21.4009937123893,22.2267610386381,24.4490270133403,23.844740650474,18.1934371387187,18.6711334649362,19.0277849976106
"A0A0F6NGJ4_PEA",20.6118565858999,20.2087044527592,17.9098626836888,20.1977197356223,17.9098626836888,18.0985522113899,20.5591179643925,20.0216624126222,18.7258161813216,17.8653297961448,15.7445128719903
"A0A0F6NGK1_PEA",21.7766414040685,21.8902633277887,19.128241329547,21.7654434968666,19.128241329547,19.5030932270983,22.1109360767134,21.7658156692476,20.7703480666461,20.9599769621836,21.1839515386153
"A0A0H3WA21_PEA",17.9476390199745,17.1306460138067,17.9855943156159,17.2534030986961,17.985620137225,17.9265865216992,17.3196148578468,17.8570922682615,16.7313334013948,16.7952760372299,16.8733768491242
"A0A0H5BV73_PEA",21.3755164299109,21.3738550315781,20.7176368806727,21.2249280931549,20.7176368806727,20.7275411051095,21.3102188784764,21.1401330995771,21.2257269250662,21.4535389093132,21.5850861392564
"A0A0M3KL10_PEA",22.9974099589972,23.0682327637957,19.6142745448862,22.6564481557313,19.6142745448862,20.4812836747157,22.9752591471154,22.690777233784,16.6618019301826,17.5480453797655,17.8802872056514
