"","Apical_Buds_0h","Apical_Buds_2h","Axillary_Buds_0h","Axillary_Buds_2h"
"A0A0F6NGI2_PEA",24.3989740060987,24.0825125709064,18.6307852004218,21.6762494878056
"A0A0M3KL10_PEA",23.0328213613965,22.7741615122102,17.3633781718665,19.9032775881627
"A0A2U3TA33_PEA",25.384888769332,24.632073570938,19.9673390953707,22.314891848685
"A0A9D4VGF9_PEA",23.9085063086513,24.3866456232825,20.7498402847243,23.5572033211068
"A0A9D4VI29_PEA",17.2149943217339,17.7512666052042,20.0936808948946,16.9534838482991
"A0A9D4VJH4_PEA",20.8296046925947,20.8701474477621,17.0620938298122,19.280669094879
"A0A9D4VKP5_PEA",14.6968945593922,17.0296885259658,19.1629005970126,17.8487867857149
"A0A9D4VLH4_PEA",14.5372393757098,17.740973915765,17.9551113644846,18.7182208974613
"A0A9D4VMZ0_PEA",23.8655300351302,24.1654097686908,26.6323924928498,24.2634908813324
"A0A9D4VN70_PEA",19.3797805682595,19.8631815471678,20.1814237945559,22.4797687653156
"A0A9D4VPS6_PEA",15.2198102983764,16.9376839508293,20.8766042001684,18.1745452076798
"A0A9D4VS53_PEA",20.4491496135186,20.1883632522303,17.9490686944864,21.0267633117862
"A0A9D4VTF8_PEA",22.517249881372,18.1033356582516,18.2465051737752,22.0898439902591
"A0A9D4VVM5_PEA",21.3341142076792,20.5461821737864,16.8088074770116,20.1895609971245
"A0A9D4VXP2_PEA",19.6452326998638,19.4490183940937,22.3671590989789,20.50244175585
"A0A9D4VYT0_PEA",23.0057535076621,23.4387585404403,19.3568630964275,22.6326333304168
"A0A9D4W3X6_PEA",19.7906123940206,18.824783151466,18.1899130415075,18.5438366607677
"A0A9D4W4M8_PEA",19.7610527933041,18.0926927211623,19.3466597845587,18.6131882052636
"A0A9D4W5X4_PEA",23.9494852786689,24.1162422847624,20.9752334756796,23.7635421139346
"A0A9D4W7V0_PEA",18.9058052494262,18.8809986852201,22.2363940403345,19.0770125302648
"A0A9D4W9P4_PEA",18.5334647957425,19.3799817721944,22.1916112250041,19.800928377959
"A0A9D4WAQ2_PEA",19.7395602180363,18.410233656253,16.598731280906,18.1119741515325
"A0A9D4WBE7_PEA",17.7798465141465,22.2526879038405,19.7517066561163,19.030066507966
"A0A9D4WF23_PEA",20.780603418696,16.5174856036147,16.7395046988544,20.1630334337083
"A0A9D4WFZ1_PEA",18.8655444689237,18.3785156420198,15.3441195575997,19.2438149806068
"A0A9D4WGS9_PEA",19.0928360387793,17.7801105653772,20.7465495341289,19.5835231854742
"A0A9D4WHQ7_PEA",20.3759172958549,20.6281144064585,17.1156513467017,20.0859875351182
"A0A9D4WLF4_PEA",17.4434998719414,22.8248769447491,16.2450710659936,22.4894548252356
"A0A9D4WLT6_PEA",16.3727639687712,18.1349280678309,17.548533704141,18.9140666640981
"A0A9D4WM09_PEA",20.893393352882,20.9767922335742,18.4842442827712,21.1960564121936
"A0A9D4WMK4_PEA",20.4535894972775,20.3741955646407,18.8307667713216,21.3013016471165
"A0A9D4WQF6_PEA",14.3347251896582,18.1153593645904,17.8480622041404,18.7695389386648
"A0A9D4WQN5_PEA",18.9224421332711,19.2138472392415,16.6195321650858,19.8905240245229
"A0A9D4WT40_PEA",19.4856841357813,19.7252333315657,17.5029866653512,20.1013959205975
"A0A9D4WTL3_PEA",19.1832169027629,19.2840258072764,17.2840483563043,19.3754782423416
"A0A9D4WWQ0_PEA",14.2972445838823,17.7543445070267,16.6934344388456,19.0769255665901
"A0A9D4X039_PEA",19.4939161696608,18.9874453750553,17.5789030949822,20.0121003820348
"A0A9D4X1C6_PEA",17.845436277663,22.090612474835,19.0438884909648,22.4473082657236
"A0A9D4X3Q1_PEA",19.7795384371587,20.0780232561206,17.0632080395309,19.5991799712785
"A0A9D4X4B5_PEA",20.9192193046135,15.3490396300808,17.3808563104355,17.9875150215868
"A0A9D4X564_PEA",19.5433637955684,19.6391069368457,21.6893274464784,19.2960207376248
"A0A9D4X9G9_PEA",12.8263182118977,17.0477576857295,16.0360208420352,15.7897730538833
